name,calories,protein,fat,carbs,fiber,sugar,p_ratio,f_ratio,c_ratio,type_any,type_breakfast,type_lunch/dinner,type_snack
cream cheese,0.00839229883166036,0.0016062823487417457,0.009079353550027237,0.002050230650948232,0.0,0.0017152658662092624,0.13432835820895522,0.7462686567164178,0.11940298507462686,False,False,False,True
neufchatel cheese,0.03537929899621524,0.013921113689095129,0.03522789177410568,0.007944643772424398,0.0,0.009262435677530018,0.25742574257425743,0.6402640264026402,0.10231023102310231,True,False,False,False
requeijao cremoso light catupiry,0.008063189073556031,0.0014278065322148852,0.006537134556019611,0.0023065094823167607,0.0013071895424836603,0.011663807890222984,0.1509433962264151,0.6792452830188679,0.16981132075471697,False,False,False,True
ricotta cheese,0.004936646371564917,0.0026771372479029096,0.003631741420010895,0.003844182470527935,0.0,0.00031217838765008573,0.3,0.4,0.3,False,False,False,True
cream cheese low fat,0.004936646371564917,0.0021417097983223274,0.004176502633012529,0.0030753459764223477,0.0,0.0030874785591766723,0.2553191489361702,0.4893617021276595,0.2553191489361702,False,False,False,True
cream cheese fat free,0.003126542701991114,0.004997322862752097,0.0003631741420010895,0.0035879036391594054,0.0,0.003430531732418525,0.6363636363636362,0.045454545454545456,0.3181818181818181,False,False,False,True
gruyere cheese,0.01908836597005101,0.014813492771729433,0.01652442346104957,0.000256278831368529,0.0,0.0003430531732418525,0.4742857142857143,0.52,0.005714285714285714,True,False,False,False
cheddar cheese,0.018594701332894523,0.011422452257719082,0.016887597603050662,0.0023065094823167607,0.0,0.0003430531732418525,0.38554216867469876,0.5602409638554217,0.05421686746987951,True,False,False,False
parmesan cheese,0.011683396412703637,0.011422452257719082,0.008171418195024514,0.0015376729882111738,0.0,0.00015780445969125213,0.5565217391304348,0.391304347826087,0.05217391304347826,False,False,False,True
romano cheese,0.003126542701991114,0.0028556130644297704,0.002360631923007082,0.000512557662737058,0.0,0.00030188679245283015,0.5161290322580645,0.4193548387096774,0.06451612903225806,False,False,False,True
parmesan cheese grated,0.003455652460095442,0.0024986614313760487,0.0025422189940076264,0.0017939518195797027,0.0,0.00025728987993138937,0.39999999999999997,0.39999999999999997,0.19999999999999998,False,False,False,True
port salut cheese,0.07651801875925622,0.05604140638943424,0.06755039041220265,0.002050230650948232,0.0,0.00274442538593482,0.452449567723343,0.5360230547550433,0.011527377521613836,False,False,True,False
swiss cheese,0.016126378147112062,0.011957879707299663,0.013982204467041947,0.001025115325474116,0.0,0.0,0.4527027027027027,0.5202702702702703,0.02702702702702703,False,False,False,True
goat cheese hard,0.02106302451867698,0.015348920221310014,0.018340294171055017,0.0015376729882111738,0.0,0.002058319039451115,0.44559585492227977,0.5233160621761658,0.031088082901554404,True,False,False,False
gouda cheese,0.01645548790521639,0.012493307156880244,0.013982204467041947,0.0015376729882111738,0.0,0.002058319039451115,0.4575163398692811,0.5032679738562092,0.0392156862745098,True,False,False,False
pepper jack cheese lucerne,0.012341615928912293,0.008923790826343031,0.010895224260032685,0.0,0.032679738562091505,0.0,0.45454545454545453,0.5454545454545454,0.0,False,False,False,True
caraway cheese,0.017442817179529373,0.012671782973407104,0.015071726893045215,0.0023065094823167607,0.0,0.0,0.43558282208588955,0.5092024539877301,0.05521472392638037,True,False,False,False
gjetost cheese,0.17409906203718942,0.03908620381938248,0.12166333757036499,0.24807790876473604,0.0,0.0,0.11793214862681745,0.3607969843834141,0.5212708669897684,False,False,True,False
tilsit cheese,0.02237946355109429,0.017490630019632344,0.018885055384056656,0.002050230650948232,0.0,0.0,0.4666666666666666,0.49523809523809514,0.03809523809523809,True,False,False,False
goat cheese,0.01694915254237288,0.010887024808138497,0.01525331396404576,2.306509482316761e-05,0.0,0.00010634648370497427,0.42042869942794125,0.5789509959335585,0.0006203046385002412,True,False,False,False
brick cheese,0.018265591574790192,0.012493307156880244,0.016161249319048485,0.002050230650948232,0.0,0.000686106346483705,0.4191616766467066,0.532934131736527,0.04790419161676647,True,False,False,False
asadero cheese,0.0661510613789699,0.04551133321434946,0.05792627564917377,0.008200922603792928,0.0,0.01097770154373928,0.4207920792079208,0.5264026402640264,0.052805280528052806,False,False,True,False
